0;0;0
1;0.931519,0.855776,0.999102,0.912116,0.999717,0.999674,0.999366,0.999439,0.999882,0.822559,0.999501,0.999687,0.900623,0.999941,0.999833,0.72824,0.999831,0.999928,0.99941,0.999819,0.99992,0.999695,0.999111,0.999898,0.999848,0.830816,0.894323,0.99956,0.999508,0.999792,0.999798,0.999762,0.999756,0.999825,0.999713,0.999738,0.999591,0.999871,0.999727,0.999781,0.999554,0.857771,0.999605,0.999656,0.999748;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2;0.999758,0.999913,0.764523,0.681753,0.99979,0.920308,0.897205,0.870565,0.999821,0.741115,0.999923,0.850225,0.794739,0.952096,0.904504,0.999762,0.934181,0.999899,0.885435,0.999832,0.999798,0.918567,0.808347,0.927187,0.839798,0.999857,0.999809,0.913984,0.999629,0.999931,0.864015,0.999899,0.902417,0.84882,0.999748,0.842213,0.893651,0.999794,0.999817,0.999669,0.999769,0.999769,0.897459,0.709403,0.807311,0.729603,0.874837,0.804644,0.999853,0.925714,0.999817,0.999732,0.795322,0.999768,0.848988,0.632435,0.999864,0.830329,0.999848,0.999756,0.892386,0.872542,0.793267,0.999895,0.839667,0.888241,0.94799,0.663063,0.999663,0.99938,0.881801,0.999621,0.999788,0.906981,0.999819,0.999757,0.685578,0.999738,0.951407,0.578824,0.873693,0.999706,0.728124,0.751764,0.557661,0.266654,0.906037,0.855737,0.765743,0.999782,0.999827,0.885563,0.890163,0.794651,0.896323,0.848782,0.919751,0.999861,0.999714,0.914426,0.931561,0.81907,0.802366,0.84648,0.99973,0.999803,0.894258,0.756664,0.999742,0.999907,0.999847,0.822796,0.874242,0.946901,0.746132,0.885724,0.999743,0.844018,0.999866,0.724825;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3;0.999718,0.744972,0.999804,0.897261,0.62954,0.999885,0.713287,0.913432,0.83646,0.586102,0.839698,0.896632,0.469552,0.908354,0.501162,0.872354,0.886148,0.759962,0.999906,0.832789,0.999887,0.941868,0.766861,0.674002,0.761053,0.900498,0.829631,0.869334,0.571362,0.999878,0.817681,0.891541,0.836205,0.999803,0.915025,0.866494,0.728365,0.717701,0.735413,0.894551,0.709581,0.999789,0.92913,0.758389,0.815963,0.920074,0.799752,0.689306,0.773448,0.843579,0.918751,0.848891,0.612622,0.905599,0.741712,0.999878,0.877349,0.999862,0.648297,0.666524,0.730605,0.59563,0.999818,0.910313,0.72183,0.99982,0.928357,0.787365,0.999896,0.564026,0.897881,0.472142,0.906124,0.904235,0.777501,0.99986,0.856904,0.759309,0.999841,0.692176,0.877368,0.999871,0.551697,0.842118,0.999822,0.623703,0.855668,0.938306,0.999822,0.999816,0.999796,0.609403,0.757439,0.714601,0.777637,0.776937,0.828403,0.844994,0.783664,0.999777,0.759121,0.885516,0.396777,0.781079,0.761302,0.942602,0.902931,0.999858,0.925638,0.813811,0.821258,0.583527,0.999743,0.906704,0.855751,0.747835,0.891748,0.999817,0.821955,0.818387,0.999803,0.926175,0.68736,0.867721,0.851135,0.850657,0.59052,0.734713,0.579272,0.72955,0.655042,0.917807,0.573868,0.99985,0.91533,0.89454,0.82627,0.86357,0.932291,0.999841,0.453692,0.999808,0.898547,0.689525,0.78846,0.590055,0.690862,0.790654,0.999886,0.852726,0.600848,0.783667,0.869694,0.775389,0.601297,0.859082,0.999811,0.860595,0.999782,0.483574,0.999794,0.879868,0.893456,0.944235,0.788456,0.679473,0.551198,0.885163,0.837698,0.918075,0.922887,0.705749,0.899834,0.781872,0.999892,0.7951,0.916865,0.904636,0.803768,0.921903,0.903056,0.430011,0.999812,0.999791,0.808761,0.894596,0.999718,0.230768,0.836483,0.711919,0.999809,0.843616,0.860491,0.723697,0.799818,0.849671,0.912757,0.804377,0.872166,0.877387,0.933127,0.694998,0.930987,0.733135,0.401217,0.838248,0.684738;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
4;0.661701,0.753706,0.421964,0.570669,0.866668,0.74756,0.87579,0.502883,0.659899,0.391609,0.582814,0.785462,0.851713,0.612161,0.737977,0.26091,0.623948,0.629309,0.706737,0.774517,0.657475,0.927975,0.531689,0.370286,0.638116,0.882194,0.621483,-0.245705,0.912812,0.65958,0.188424,0.605175,0.787095,0.914565,0.866523,0.909603,0.694354,0.579671,0.849613,0.678666,0.644062,0.539876,0.641869,0.227183,0.887305,0.673794,0.615834,0.551725,0.769819,0.734582,0.828441,0.585688,0.722105,0.591166,0.576864,0.686411,0.818036,0.655621,0.731287,0.388958,0.73517,0.732934,0.675557,0.705789,0.76403,0.809079,0.667934,0.999789,0.708216,0.581578,0.705666,0.671211,0.714159,0.804759,0.892643,0.806306,0.800828,0.45368,0.687823,0.711539,0.82964,0.912193,0.779899,0.874593,0.589853,0.517869,0.789353,0.401419,0.624894,0.946236,0.822449,0.719907,0.769361,0.86676,0.435891,0.797808,0.571756,0.844062,0.908959,0.646876,0.417411,0.752054,0.849863,0.616907,0.737649,0.374285,0.612054,0.7406,0.669172,0.5892,0.453298,0.7319,0.890905,0.853496,0.663541,0.824352,0.639225,0.685085,0.472659,0.817758,0.79121,0.841975,0.529977,0.888723,0.641696,0.774077,0.565753,0.350575,0.687428,0.0912894,0.413744,0.561788,0.873205,0.593539,0.685715,0.882131,0.685651,0.575678,0.554655,0.680698,0.649893,0.655063,0.394517,0.749861,0.398347,0.675899,0.555137,0.851659,0.35579,0.624612,0.722055,0.643283,0.609245,0.913649,0.609423,0.656513,0.483753,0.684634,0.552194,0.607968,0.712692,0.525793,0.896387,0.777645,0.7161,0.802899,0.445272,0.809737,0.656066,0.493194,0.688701,0.833596,0.638704,0.64573,0.561979,0.700548,0.729587,0.783128,0.777559,0.192366,0.587823,0.730642,0.428485,0.870941,0.83999,0.851932,0.794802,0.513382,0.665798,0.773144,0.846007,0.489259,0.742462,0.777622,0.636258,0.110094,0.896036,0.702603,0.897244,0.749844,0.593638,0.825937,0.743054,0.613668,0.816592,0.88507,0.327201,0.77766,0.577614,0.72137,0.599362,0.29383,0.591583,0.552058,0.540877,0.692135,0.703726,0.677815,0.686173,0.783671,0.746235,0.63791,0.599544,0.574062,0.715682,0.50655,0.417905,0.818532,0.458244,0.726513,0.761784,0.696904,0.839303,0.702514,0.818003,0.567626,0.652242,0.779092,0.00342496,0.652021,0.750714,0.709624,0.745371,0.900945,0.726032;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5;0.307502,0.418455,0.724985,0.459377,0.312038,0.659819,0.713395,0.513439,0.289286,0.815463,0.485713,0.481525,0.237906,-0.131527,0.121483,0.52939,0.613564,0.213426,0.67338,-0.0397918,0.581087,0.522056,0.513153,0.337089,0.819759,0.294642,-0.202288,0.73204,0.257114,0.267552,0.351455,0.335301,0.297188,-0.173437,0.432709,0.20002,0.448056,0.171977,0.333345,0.537615,0.288849,0.742269,0.325422,0.368025,0.254767,0.483814,0.529587,-0.263412,0.219225,0.0202473,0.603087,0.420726,0.233324,0.389879,0.240443,0.180685,0.635344,0.422922,-0.290076,0.563924,0.254128,-0.0271322,0.307991,0.259641,0.149029,0.478144,0.57607,0.61676,0.527185,0.405593,0.130671,0.837913,0.29857,0.260836,0.69681,0.332145,0.457932,0.223302,0.164744,0.765297,0.362912,0.355631,0.433901,0.174099,0.334135,0.456119,0.253816,0.428228,0.617068,0.470557,0.673376,0.413568,0.401119,0.019239,0.181615,0.163736,0.548182,0.642135,0.519398,0.694771,0.247525,0.677302,0.119172,0.520456,0.719014,0.231091,0.529659,0.599895,0.659403,0.281168,0.602019,0.518011,0.275221,0.396472,0.37272,0.41166,0.40158,0.250956,0.293714,0.412663,0.584809,0.106857,0.527769,0.36599,0.540655,-0.196028,0.251243,0.532068,0.326805,0.41059,0.271857,0.568321,0.688795,0.415548,0.486465,0.111077,0.484786,0.112116,-0.128584,0.576048,0.616916,0.493383,0.642815,0.387099,0.24385,0.272899,0.243583,0.196486,0.41253,0.0778914,0.671342,0.606661,0.649835,0.114322,0.00843005,0.749879,0.144973,0.613709,0.472698,0.33327,0.46371,0.636667,0.104037,0.771925,0.547405,0.394872,0.575708,0.288416,0.425115,0.414232,0.114069,0.767834,-0.0417586,-0.00222052,-0.00956007,0.534788,0.035206,0.290468,-0.0605731,0.286164,0.0586426,0.366316,0.438021,0.579594,0.306593,0.0616501,0.325519,0.479904,0.455926,0.367296,0.649874,0.463262,0.303433,0.108654,0.352821,0.350435,0.354824,0.259911,0.384596,0.499943,0.471924,0.283908,-0.0723241;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
6;0.0501281,0.35243,0.0280182,-0.127961,0.130923,0.415809,-0.0217168,-0.0897551,-0.0908104,-0.069386,0.175879,0.343983,0.0338611,0.510292,0.254313,0.160598,-0.170144,-0.18919,-0.406138,0.0760918,-0.410739,-0.151087,0.232494,-0.124555,-0.0899017,-0.0252184,0.0662953,0.0818023,0.225936,0.0574588,0.431505,0.431258,-0.00753093,0.72758,-0.059627,0.154594,-0.0847225,0.417598,0.114182,-0.0591743,-0.0180061,0.161269,0.366122,0.379987,-0.0578426,-0.221587,0.348621,-0.136799,-0.464931,0.308745,-0.0989492,0.230819,-0.0801111,-0.0659809,-0.0239676,0.223539,0.116333,-0.197216,-0.122617,0.0417402,0.249227,0.12591,-0.21429,0.0273937,-0.0286624,-0.0182242,0.121132,0.00342012,-0.0627788,0.498656,-0.0460005,0.174798,-0.313585,-0.120077,-0.326455,-0.108656,0.085054,-0.135463,0.0440253,-0.0251136,0.0904399,0.0904234,-0.0221709,-0.130362,0.201899,-0.117056,0.26146,0.015639,0.133326,0.164144,0.0188552,0.0718493,0.0320574,0.166802,0.0593545,0.0965005,-0.350643,0.379932,-0.26367,-0.0382874,-0.327582;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
7;-0.0280193,-0.0122096,0.161935,-0.221592,-0.0557384,-0.244409,-0.195663,-0.0678129,-0.408901,-0.191976,-0.177503,-0.227107,0.0821071;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
8;0;0
9;0;0
