0;0;0
1;0.999616,0.999614,0.999102,0.999756,0.999717,0.999674,0.999366,0.999439,0.999882,0.999918,0.999501,0.999687,0.900623,0.999941,0.999833,0.999768,0.999831,0.999928,0.99941,0.999819,0.99992,0.999695,0.945303,0.999898,0.999848,0.999762,0.999773,0.99956,0.999508,0.999792,0.901322,0.999762,0.999756,0.999825,0.999713,0.999738,0.999591,0.999871,0.999727,0.999781,0.999554,0.999905,0.999605,0.917513,0.999748;0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2;0.999758,0.999821,0.999913,0.999753,0.924808,0.999738,0.936111,0.999878,0.999821,0.926512,0.999923,0.954592,0.910498,0.99984,0.91369,0.999762,0.920416,0.999899,0.99971,0.999832,0.999798,0.999807,0.99981,0.940991,0.999759,0.999857,0.999809,0.999769,0.999629,0.999931,0.999674,0.999899,0.999723,0.928376,0.999735,0.918828,0.910962,0.999794,0.999817,0.925608,0.999769,0.999769,0.999594,0.999545,0.937368,0.999817,0.999835,0.920098,0.999853,0.909904,0.999817,0.999732,0.908935,0.999768,0.923826,0.999781,0.906453,0.999873,0.999848,0.999756,0.927799,0.999821,0.999861,0.999895,0.999922,0.950951,0.999801,0.999733,0.999663,0.900358,0.999754,0.938822,0.999788,0.906981,0.999819,0.999757,0.999744,0.999738,0.999824,0.999789,0.999706,0.999756,0.999809,0.999836,0.999684,0.999861,0.919917,0.999732,0.99968,0.916507,0.999782,0.927569,0.999854,0.999727,0.926657,0.999655,0.919753,0.999861,0.999714,0.914426,0.931561,0.902896,0.999898,0.999918,0.935311,0.999803,0.922154,0.999801,0.999742,0.999847,0.999907,0.999769,0.999746,0.946901,0.999784,0.999774,0.9998,0.999743,0.999866,0.999775;0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.0288,0.024,0.024,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.024,0.02,0.02,0.024,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.024,0.024,0.024,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.024,0.02,0.02,0.02,0.024,0.024,0.02,0.02,0.02,0.02,0.02,0.024,0.02,0.024,0.02,0.024,0.0288,0.024,0.02,0.02,0.024,0.02,0.024,0.02,0.024,0.02,0.02,0.02,0.024,0.024,0.024,0.02,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.0288,0.0288,0.02,0.024,0.02,0.02,0.02,0.02,0.02,0.024,0.024,0.02,0.02,0.024,0.024,0.02,0.02,0.024
3;0.93516,0.931927,0.99987,0.99986,0.901431,0.999885,0.999803,0.906897,0.999793,0.999824,0.999854,0.999858,0.999788,0.914743,0.999763,0.999777,0.942121,0.999805,0.999811,0.999906,0.999887,0.912904,0.9998,0.999786,0.922911,0.99985,0.914721,0.999768,0.99983,0.999878,0.911621,0.928904,0.99985,0.999803,0.959796,0.910927,0.999776,0.949394,0.999783,0.999789,0.999796,0.999859,0.999787,0.999826,0.919828,0.999792,0.9997,0.999789,0.999813,0.904522,0.999817,0.9998,0.999697,0.905599,0.999757,0.999878,0.999862,0.999788,0.999771,0.915329,0.999752,0.99975,0.999818,0.999694,0.999883,0.99982,0.999835,0.924783,0.999774,0.999896,0.953977,0.999821,0.99986,0.999798,0.933135,0.999716,0.92521,0.901451,0.999841,0.999823,0.918171,0.999871,0.999807,0.999853,0.999822,0.914462,0.940608,0.921394,0.999822,0.999816,0.999873,0.999796,0.999813,0.9998,0.999821,0.999918,0.999833,0.942665,0.999716,0.999777,0.999825,0.999848,0.999881,0.999768,0.999756,0.999787,0.999665,0.999858,0.999818,0.914718,0.928359,0.999862,0.999786,0.999743,0.999884,0.924342,0.999817,0.999871,0.910832,0.999778,0.999803,0.913465,0.999798,0.999873,0.999761,0.999892,0.999733,0.999829,0.999801,0.999732,0.999824,0.999839,0.999825,0.99985,0.943466,0.929592,0.999769,0.999883,0.999762,0.999841,0.999767,0.999808,0.999726,0.999792,0.921776,0.99985,0.904909,0.924569,0.999752,0.999886,0.999778,0.91663,0.999808,0.918221,0.999768,0.999778,0.999811,0.999811,0.999782,0.999924,0.999794,0.999814,0.99981,0.935076,0.999862,0.999867,0.999689,0.925732,0.999735,0.918075,0.999828,0.999825,0.922892,0.999906,0.999892,0.999783,0.999883,0.999847,0.923676,0.921903,0.908022,0.999812,0.999918,0.999791,0.999718,0.999876,0.999798,0.999785,0.918079,0.999883,0.999809,0.900116,0.999801,0.999909,0.999802,0.947434,0.999807,0.999746,0.999813,0.999828,0.910251,0.92685,0.907476,0.912868,0.909271,0.999805,0.999792;0.02,0.02,0.024,0.02,0.024,0.02,0.0288,0.024,0.024,0.024,0.024,0.024,0.03456,0.02,0.0288,0.024,0.02,0.0288,0.024,0.024,0.024,0.02,0.0288,0.0288,0.024,0.024,0.02,0.024,0.0288,0.02,0.024,0.024,0.02,0.02,0.02,0.02,0.024,0.024,0.0288,0.024,0.02,0.024,0.024,0.0288,0.02,0.02,0.024,0.0288,0.024,0.02,0.024,0.0288,0.024,0.02,0.024,0.024,0.02,0.024,0.024,0.024,0.024,0.024,0.02,0.024,0.024,0.024,0.02,0.024,0.0288,0.02,0.024,0.024,0.02,0.024,0.02,0.02,0.024,0.024,0.02,0.024,0.02,0.02,0.0288,0.024,0.02,0.024,0.02,0.02,0.02,0.0288,0.024,0.02,0.024,0.0288,0.024,0.024,0.024,0.02,0.024,0.024,0.0288,0.02,0.0288,0.02,0.024,0.024,0.0288,0.024,0.0288,0.02,0.024,0.02,0.03456,0.02,0.024,0.02,0.02,0.024,0.02,0.02,0.02,0.02,0.0288,0.024,0.024,0.0288,0.02,0.024,0.024,0.024,0.024,0.02,0.0288,0.02,0.02,0.02,0.0288,0.024,0.02,0.02,0.027648,0.02,0.024,0.024,0.02,0.0288,0.024,0.024,0.024,0.02,0.024,0.02,0.02,0.02,0.024,0.0288,0.02,0.024,0.0288,0.024,0.024,0.024,0.02,0.024,0.024,0.0288,0.024,0.02,0.024,0.02,0.02,0.024,0.024,0.024,0.02,0.024,0.024,0.024,0.024,0.02,0.024,0.02,0.024,0.024,0.024,0.024,0.024,0.0288,0.02,0.024,0.02,0.02,0.0288,0.024,0.02,0.024,0.024,0.024,0.024,0.024,0.02,0.024,0.02,0.024,0.024,0.0288,0.024
4;0.938266,0.9998,0.999826,0.999837,0.911525,0.999893,0.999777,0.913782,0.999788,0.943571,1,0.928247,0.999855,0.918726,0.919487,1,0.999798,0.999852,0.931587,0.999831,0.999889,0.999768,0.933142,0.99981,0.999787,0.999827,1,1,0.99975,0.999831,1,0.999817,0.914565,0.90556,0.935928,0.999849,0.999867,0.999852,0.904656,0.920864,0.936288,0.99979,0.999863,1,0.999825,0.999839,0.914009,0.999879,0.999808,0.999819,0.999864,1,0.999886,0.944273,0.932786,0.929621,0.999882,0.999811,0.999876,0.911588,0.927174,0.999798,0.999822,0.999851,0.999773,0.999744,0.923542,0.916496,0.999789,0.999802,0.999849,0.99981,0.999839,0.999816,0.999818,0.999837,0.999843,0.946493,0.901456,0.999857,0.999829,0.999836,0.918811,0.999791,0.999869,0.999784,0.999856,0.905981,0.999816,0.999801,0.999789,0.999864,0.934267,0.999822,0.999816,0.901707,0.90999,0.999803,0.908959,0.999767,0.999865,0.92703,0.999795,0.999803,0.935597,0.999849,0.92345,0.999784,0.925734,0.941217,0.999837,0.933286,0.999774,0.999835,0.999852,0.999855,0.999812,0.909212,0.999812,0.90143,0.941472,0.999854,0.999824,0.999832,0.999843,0.999834,0.934225,0.99983,0.90817,1,0.999872,1,0.930301,0.999844,0.999824,0.999834,0.999813,0.999849,0.999871,0.91409,1,0.999817,0.99982,0.999808,0.999834,0.999818,1,0.99979,0.999829,0.99988,0.926857,0.920382,0.92897,0.999851,0.999832,0.999812,1,0.999912,0.936752,0.999833,0.999841,0.999829,0.999822,0.944724,0.99982,0.999852,0.945642,0.941825,0.943323,1,0.942549,0.999851,0.999802,0.916491,0.999853,0.999791,0.902448,0.936086,0.99984,1,0.908843,0.999789,0.999799,0.999888,0.906706,0.906795,0.999846,0.999785,0.999857,0.999832,0.999816,0.999826,0.999788,0.999827,0.999844,1,0.999889,0.92838,0.999838,0.999845,0.999834,0.999791,0.999868,0.999823,1,0.999842,0.999763,0.922988,0.931488,0.929463,0.910925,0.999781,0.999793,0.91812,0.999802,0.999802,0.999802,0.999836,0.999803,0.99984,0.999711,0.921985,0.908943,0.918157,0.912884,0.902565,1,1,0.999806,0.99974,0.999839,0.999867,0.92893,0.999842,0.9999,0.99979,0.920964,0.99984,1,0.999811,0.90466,0.999727,0.999888,0.910928,0.999826;0.024,0.0288,0.0288,0.024,0.024,0.024,0.0288,0.024,0.024,0.024,0.0128,0.024,0.0288,0.024,0.024,0.01024,0.024,0.0288,0.024,0.024,0.0288,0.024,0.024,0.0288,0.0288,0.024,0.01024,0.0128,0.024,0.0288,0.0128,0.0288,0.02,0.024,0.024,0.0288,0.024,0.024,0.024,0.024,0.0288,0.024,0.024,0.0128,0.024,0.024,0.024,0.0288,0.0288,0.03456,0.03456,0.0128,0.0288,0.024,0.0288,0.024,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.0288,0.024,0.024,0.024,0.0288,0.02,0.02,0.02,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.024,0.024,0.024,0.024,0.024,0.0288,0.024,0.024,0.0288,0.0288,0.024,0.0288,0.03456,0.024,0.024,0.024,0.024,0.024,0.03456,0.024,0.024,0.024,0.02,0.0288,0.0288,0.024,0.024,0.024,0.024,0.0288,0.0288,0.0288,0.024,0.024,0.024,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.024,0.0288,0.024,0.024,0.0288,0.024,0.024,0.024,0.0288,0.0288,0.0288,0.024,0.01024,0.0288,0.0128,0.024,0.0288,0.024,0.024,0.024,0.024,0.024,0.0288,0.016,0.024,0.024,0.024,0.0288,0.024,0.0128,0.024,0.0288,0.0288,0.024,0.024,0.024,0.0288,0.0288,0.024,0.01024,0.024,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.024,0.024,0.02,0.0288,0.024,0.0128,0.0288,0.03456,0.0288,0.024,0.0288,0.0288,0.024,0.024,0.024,0.0128,0.024,0.0288,0.0288,0.024,0.024,0.024,0.024,0.03456,0.024,0.024,0.02,0.024,0.0288,0.0288,0.0288,0.016,0.0288,0.024,0.024,0.0288,0.024,0.024,0.024,0.024,0.01024,0.0288,0.0288,0.024,0.0288,0.024,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.024,0.0288,0.0288,0.024,0.024,0.0288,0.024,0.024,0.024,0.024,0.0128,0.0128,0.0288,0.0288,0.024,0.03456,0.024,0.0288,0.024,0.0288,0.024,0.024,0.0128,0.024,0.0288,0.0288,0.024,0.02,0.0288
5;0.999822,1,1,0.99985,0.999874,1,0.999806,0.999821,1,1,1,1,0.927476,1,1,1,0.999846,1,1,0.918218,0.999829,0.904583,0.910907,1,0.999857,0.999821,1,0.928411,0.999865,0.900912,1,1,1,1,0.910864,0.925553,1,1,1,1,0.925751,0.999845,1,0.999863,1,0.999884,1,1,0.912273,1,1,1,1,1,1,0.999831,1,1,1,0.999843,0.999822,1,1,1,1,0.999787,0.922891,0.999807,1,1,0.999812,0.999785,0.99982,1,1,0.999857,0.999823,1,0.999871,1,1,0.916456,1,1,1,0.915727,1,0.925241,0.999865,0.999847,1,0.999837,1,1,1,1,0.999857,1,0.932375,0.999794,0.902367,0.999863,0.99983,0.999862,0.924372,0.999823,0.926059,1,0.999771,1,1,0.902293,0.999793,1,1,0.92001,0.922525,1,1,1,0.999832,0.999829,0.999827,0.999843,0.999813,1,1,0.999818,0.927517,0.918743,1,1,0.99981,0.999828,1,1,1,0.924338,1,0.906812,0.99984,0.999833,0.999838,0.94131,1,0.906058,0.999852,1,1,0.999825,1,1,0.999842,1,1,0.999877,1,0.999833,0.999754,1,0.99983,1,1,0.999864,0.913387,1,1,1,0.999835,1,1,1,1,0.999818,1,1,1,1,1,0.999804,0.921947,1,0.999803,0.932322,1,0.999813,0.999815,0.999786,1,0.999808,0.924818,0.999836,0.912287,1,1,0.999795,0.999877,1,1,0.922905,1,1,1;0.0288,0.0128,0.016,0.0288,0.0288,0.0128,0.0288,0.024,0.0128,0.0128,0.0128,0.01024,0.024,0.0128,0.0128,0.0128,0.0288,0.016,0.0128,0.024,0.03456,0.024,0.024,0.0128,0.03456,0.03456,0.0128,0.024,0.0288,0.0288,0.0128,0.0128,0.016,0.016,0.0288,0.024,0.016,0.0128,0.0128,0.0128,0.024,0.0288,0.0128,0.03456,0.016,0.024,0.0128,0.016,0.0288,0.016,0.01024,0.012288,0.0128,0.0128,0.016,0.03456,0.016,0.01024,0.016,0.0288,0.0288,0.016,0.0128,0.0128,0.016,0.0288,0.024,0.0288,0.016,0.016,0.041472,0.0288,0.0288,0.0128,0.0128,0.03456,0.0288,0.0128,0.03456,0.0128,0.0128,0.024,0.0128,0.0128,0.0128,0.024,0.0128,0.0288,0.0288,0.03456,0.01024,0.024,0.0128,0.0128,0.012288,0.0128,0.03456,0.0128,0.024,0.024,0.0288,0.0288,0.03456,0.0288,0.0288,0.0288,0.0288,0.0128,0.0288,0.0128,0.0128,0.024,0.0288,0.0128,0.0128,0.0288,0.024,0.0128,0.0128,0.016,0.0288,0.0288,0.0288,0.0288,0.0288,0.0128,0.0128,0.0288,0.0288,0.024,0.0128,0.0128,0.0288,0.024,0.01024,0.0128,0.0128,0.0288,0.0128,0.024,0.03456,0.0288,0.024,0.024,0.016,0.024,0.0288,0.0128,0.0128,0.03456,0.0128,0.0128,0.0288,0.016,0.016,0.0288,0.0128,0.0288,0.024,0.01024,0.024,0.0128,0.0128,0.0288,0.0288,0.0128,0.0128,0.0128,0.0288,0.016,0.0128,0.0128,0.016,0.0288,0.01024,0.01024,0.0128,0.0128,0.0128,0.03456,0.0288,0.0128,0.0288,0.0288,0.0128,0.03456,0.0288,0.0288,0.016,0.0288,0.024,0.0288,0.0288,0.0128,0.0128,0.0288,0.0288,0.0128,0.0128,0.024,0.0128,0.016,0.0128
6;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;0.0128,0.0128,0.016,0.0128,0.0128,0.0128,0.016,0.016,0.0128,0.016,0.016,0.016,0.016,0.0128,0.0128,0.016,0.0128,0.016,0.016,0.016,0.0128,0.016,0.0128,0.016,0.0128,0.016,0.0128,0.016,0.0128,0.016,0.016,0.0128,0.016,0.041472,0.016,0.0128,0.016,0.016,0.016,0.016,0.016,0.0128,0.0128,0.0128,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.0128,0.016,0.0128,0.016,0.016,0.016,0.016,0.016,0.0128,0.016,0.0128,0.016,0.016,0.016,0.0288,0.016,0.0128,0.016,0.016,0.0128,0.016,0.016,0.0128,0.016,0.016,0.016,0.016,0.0128,0.016,0.016,0.016,0.0128,0.0128,0.0128,0.016,0.016,0.016,0.0128,0.0128,0.016,0.016,0.016,0.016,0.0128,0.016,0.016,0.016
7;1,1,1,1,1,1,1,1,1,1,1,1,1;0.016,0.016,0.016,0.016,0.016,0.0128,0.016,0.016,0.016,0.016,0.016,0.016,0.016
8;0;0
9;0;0
